stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8553495,3703,"Manning Drive at Gravely Drive","",35.903071,-79.050059,,,0,,,0,,
8553498,3092,"Weaver Dairy Road at Sunset Lane","",35.96198,-79.0363,,,0,,,0,,
8553499,3467,"Carol Woods","",35.96491,-79.04033,,,0,,,0,,
8553500,3443,"Weaver Dairy Road at Essex Drive","",35.96394,-79.04255,,,0,,,0,,
8553501,3156,"Weaver Dairy Road at Kensington Trace","",35.96388,-79.04793,,,0,,,0,,
8553502,3100,"Weaver Dairy Road at Vilcom Campus","",35.96399,-79.05246,,,0,,,0,,
8553503,3086,"Martin Luther King Junior Boulevard at 1701 North Apartments","",35.961911,-79.05793,,,0,,,0,,
8553504,3102,"Westminster Drive at Banks Drive Eastbound","",35.961471,-79.05484,,,0,,,0,,
8553505,3073,"Westminster Drive at Banks Drive Westbound","",35.961492,-79.055562,,,0,,,0,,
8553506,3441,"Martin Luther King Junior Boulevard at Westminster Drive","",35.960647,-79.057588,,,0,,,0,,
8553507,3119,"Martin luther King Junior Boulevard at Rigsbee Southbound","",35.958718,-79.057548,,,0,,,0,,
8553508,3071,"Martin Luther King Junior Boulevard at Stateside Drive","",35.954688,-79.058135,,,0,,,0,,
8553509,3332,"Martin Luther King Junior Boulevard at Chapel View","",35.948477,-79.058722,,,0,,,0,,
8553510,3420,"Martin Luther King Junior Boulevard at Northfield Drive","",35.94643,-79.058548,,,0,,,0,,
8553511,3330,"Martin Luther King Junior Boulevard at Timber Hollow Southbound","",35.940243,-79.057279,,,0,,,0,,
8553512,3327,"Martin Luther King Junior Boulevard at Shadowood","",35.937097,-79.056654,,,0,,,0,,
8553513,3242,"Martin Luther King Junior Boulevard at Barclay Road","",35.930642,-79.055205,,,0,,,0,,
8553514,3244,"Martin Luther King Junior Boulevard at Airport Gardens Apartments","",35.927982,-79.054298,,,0,,,0,,
8553515,3448,"Martin Luther King Junior Boulevard at 725","",35.923783,-79.054794,,,0,,,0,,
8553516,3450,"Martin Luther King Junior Boulevard at Longview Street","",35.920726,-79.056089,,,0,,,0,,
8553517,3082,"Martin Luther King Junior Boulevard at Adelaide Walters Apartments","",35.918346,-79.056566,,,0,,,0,,
8553518,3407,"Martin Luther King Junior Boulevard at Town Hall","",35.916757,-79.056856,,,0,,,0,,
8554283,3408,"Martin Luther King Junior Boulevard at North Street","",35.916613,-79.056579,,,0,,,0,,
8554284,3081,"Martin Luther King Junior Boulevard at University Apartments","",35.91844,-79.056259,,,0,,,0,,
8554285,3451,"Martin Luther King Junior Boulevard at Millcreek","",35.921345,-79.055657,,,0,,,0,,
8554286,3449,"Martin Luther King Junior Boulevard at Hillsborough Street","",35.924497,-79.054182,,,0,,,0,,
8554287,3245,"Martin Luther King Junior Boulevard at Bolinwood Drive","",35.928023,-79.054053,,,0,,,0,,
8554288,3243,"Martin Luther King Junior Boulevard at Barclay Road Northbound","",35.930315,-79.054797,,,0,,,0,,
8554289,3479,"Martin Luther King Junior Boulevard at Shadowood Northbound","",35.937504,-79.056472,,,0,,,0,,
8554290,3337,"Martin Luther King Junior Boulevard at Timber Hollow Northbound","",35.941384,-79.057209,,,0,,,0,,
8554291,3334,"Martin Luther King Junior Boulevard at Ashley Forest Road","",35.944501,-79.057853,,,0,,,0,,
8554294,3335,"Martin Luther King Junior Boulevard at Taylor Street","",35.945943,-79.058146,,,0,,,0,,
8554295,3333,"Martin Luther King Junior Boulevard at Homestead","",35.949907,-79.058073,,,0,,,0,,
8554296,3607,"Martin Luther King Junior Boulevard at Stateside Drive Northbound","",35.955672,-79.057715,,,0,,,0,,
8554297,3091,"Martin Luther King Junior Boulevard Junior at Rigsbee Northbound","",35.959714,-79.057167,,,0,,,0,,
8554298,3102,"Westminster Drive at Banks Drive Eastbound","",35.96153,-79.05484,,,0,,,0,,
8554299,3715,"Banks Drive at Shopping Center","",35.96196,-79.05528,,,0,,,0,,
8554300,3714,"Banks Drive at Weaver Dairy Road","",35.96352,-79.05561,,,0,,,0,,
8554301,3034,"Weaver Dairy Road at Timberlyne Village","",35.9639,-79.05305,,,0,,,0,,
8554302,3261,"Weaver Dairy Road at Essex Drive Eastbound","",35.96397,-79.04296,,,0,,,0,,
8554303,3165,"Weaver Dairy Road at Timberlyne Road","",35.96388,-79.04849,,,0,,,0,,
8554304,3083,"Weaver Dairy Road at Steeplechase Road","",35.96204,-79.03668,,,0,,,0,,
8554305,3026,"Friday Center Drive at Finley Forest Drive","",35.89919,-79.01106,,,0,,,0,,
8554307,3358,"Friday Center Park-and-Ride","",35.900574,-79.011502,,,0,,,0,,
8554308,3609,"Friday Center Drive at NC 54 Northbound","",35.901098,-79.01094,,,0,,,0,,
8554309,3014,"Raleigh Road at Burning Tree Drive","",35.906601,-79.019153,,,0,,,0,,
8554310,3395,"Raleigh Road at Oakwood Drive","",35.907803,-79.022324,,,0,,,0,,
8554311,3431,"South Road at Country Club Road Westbound","",35.910745,-79.042884,,,0,,,0,,
8554312,3090,"Bradley Road at Reade Road Southbound","",35.924985,-79.057903,,,0,,,0,,
8554313,3396,"Raleigh Road at Hamilton Road","",35.907746,-79.023192,,,0,,,0,,
8554314,3013,"Raleigh Road at Finley Golf Course Road","",35.906529,-79.019783,,,0,,,0,,
8554315,3587,"Friday Center Drive at NC 54 Southbound","",35.90131,-79.011303,,,0,,,0,,
8554316,3027,"Friday Center Drive at Friday Center Drive","",35.899632,-79.011213,,,0,,,0,,
8554532,3050,"North Columbia Street at Isley Street Westbound","",35.919076,-79.059334,,,0,,,0,,
8554533,3033,"Pritchard Avenue Extension at Trinity Court","",35.919841,-79.060938,,,0,,,0,,
8554534,3415,"Caldwell Street at Church Street","",35.917494,-79.060747,,,0,,,0,,
8554535,3051,"Caldwell Street at North Columbia Street","",35.918007,-79.059477,,,0,,,0,,
8554536,3357,"West Barbee Chapel Road at Weaver Mine Trail","",35.906048,-79.01288,,,0,,,0,,
8554539,3355,"Meadowmont Lane at Village Crossing Drive","",35.904903,-79.009053,,,0,,,0,,
8554540,3354,"West Barbee Chapel Road at Old Barn Lane","",35.907043,-79.014934,,,0,,,0,,
8554541,3371,"Estes Drive at Post Office","",35.928064,-79.032338,,,0,,,0,,
8554542,3259,"East Franklin Street at Estes Drive Westbound","",35.928649,-79.034717,,,0,,,0,,
8554543,3263,"East Franklin Street at Vet Hospital","",35.926776,-79.036089,,,0,,,0,,
8554544,3265,"East Franklin Street at Elizabeth Street Westbound","",35.924214,-79.038389,,,0,,,0,,
8554545,3267,"East Franklin Street at Howell Lane Westbound","",35.922579,-79.038896,,,0,,,0,,
8554546,3251,"East Franklin Street at Carolina Avenue","",35.918242,-79.040155,,,0,,,0,,
8554547,3256,"East Franklin Street at North Boundary Street Westbound","",35.916781,-79.046571,,,0,,,0,,
8554548,3258,"East Franklin Street at Planetarium Westbound","",35.915208,-79.050644,,,0,,,0,,
8554549,3447,"East Franklin Street at Henderson Street","",35.914399,-79.05278,,,0,,,0,,
8554550,3746,"Mason Farm Road at Oteys Road","",35.897839,-79.045819,,,0,,,0,,
8554551,3700,"Finley Golf Course Road at NC 54","",35.905541,-79.019054,,,0,,,0,,
8554552,3659,"Ronald McDonald House Eastbound","",35.900962,-79.030821,,,0,,,0,,
8554553,3704,"Old Mason Farm Road at Highland Woods","",35.901217,-79.031753,,,0,,,0,,
8554554,3707,"Fordham Boulevard at Old Mason Farm Road","",35.901034,-79.033427,,,0,,,0,,
8554870,3032,"Hillsborough Street at Brookside Condos","",35.923394,-79.051853,,,0,,,0,,
8554871,3031,"Hillsborough Street at Union Chapel Hill Southbound","",35.920219,-79.051843,,,0,,,0,,
8554872,3107,"Hillsborough Street at North Street","",35.917804,-79.050486,,,0,,,0,,
8554873,3473,"Hillsborough Street at East Rosemary Street","",35.91628,-79.049664,,,0,,,0,,
8554874,3219,"South Columbia Street at Mason Farm","",35.902859,-79.056056,,,0,,,0,,
8554875,3238,"Manning Drive at Hospital Parking Deck","",35.903199,-79.051357,,,0,,,0,,
8554876,3236,"Manning Drive at Hibbard Drive","",35.902843,-79.048947,,,0,,,0,,
8554877,3233,"Manning Drive at Craige Parking Deck","",35.903472,-79.046632,,,0,,,0,,
8554878,3161,"Ridge Road at Ehringhaus Hall","",35.904113,-79.044186,,,0,,,0,,
8554879,3184,"South Columbia Street at Westwood Drive","",35.900945,-79.05803,,,0,,,0,,
8554882,3484,"West Franklin Street at Kenan Street Westbound","",35.91141,-79.060559,,,0,,,0,,
8554883,3045,"West Franklin Street at North Roberson Street","",35.91028,-79.063448,,,0,,,0,,
8554884,3509,"East Main Street at Lloyd Street","",35.910826,-79.068796,,,0,,,0,,
